10:49:29:771 [WARN]	SSL certificate signed by unknown CA
10:49:29:772 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:772 [WARN]	SSL certificate signed by unknown CA
10:49:29:772 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:775 [WARN]	SSL certificate signed by unknown CA
10:49:29:776 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:776 [WARN]	SSL certificate signed by unknown CA
10:49:29:776 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:779 [WARN]	SSL certificate signed by unknown CA
10:49:29:779 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:779 [WARN]	SSL certificate signed by unknown CA
10:49:29:780 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:780 [WARN]	SSL certificate signed by unknown CA
10:49:29:780 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:781 [WARN]	SSL certificate signed by unknown CA
10:49:29:781 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:783 [WARN]	SSL certificate signed by unknown CA
10:49:29:783 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:49:29:783 [WARN]	SSL certificate signed by unknown CA
10:49:29:783 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
10:52:29:748 [WARN]	SSL certificate signed by unknown CA
10:52:29:748 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:49:14:221 [WARN]	SSL certificate signed by unknown CA
11:49:14:222 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
